日期,收盘,开盘,高,低,交易量,涨跌幅
2007年6月20日,3059.16 ,3133.31 ,"3,150.49","3,050.43",2.81B,-2.34%
2007年6月19日,3132.30 ,3123.89 ,"3,155.97","3,100.83",2.93B,-0.04%
2007年6月18日,3133.53 ,3090.17 ,"3,154.26","3,087.80",3.65B,3.22%
2007年6月15日,3035.78 ,2984.27 ,"3,046.71","2,973.96",2.53B,0.85%
2007年6月14日,3010.16 ,3036.35 ,"3,050.99","2,982.81",2.91B,-1.17%
2007年6月13日,3045.94 ,3007.65 ,"3,058.49","3,000.91",4.20B,2.11%
2007年6月12日,2982.90 ,2930.43 ,"2,984.07","2,859.60",3.47B,2.21%
2007年6月11日,2918.30 ,2875.11 ,"2,924.18","2,856.99",3.37B,2.18%
2007年6月8日,2856.02 ,2861.81 ,"2,875.50","2,812.94",3.09B,-0.02%
2007年6月7日,2856.54 ,2797.23 ,"2,857.31","2,786.77",3.33B,2.70%
2007年6月6日,2781.32 ,2788.97 ,"2,814.06","2,713.08",3.21B,0.10%
2007年6月5日,2778.66 ,2638.42 ,"2,780.75","2,493.31",4.29B,3.08%
2007年6月4日,2695.76 ,2923.41 ,"2,935.88","2,685.73",4.03B,-7.25%
2007年6月1日,2906.59 ,2963.47 ,"3,055.87","2,885.52",5.17B,-1.15%
2007年5月31日,2940.37 ,2838.10 ,"2,986.53","2,748.06",5.51B,2.92%
2007年5月30日,2857.00 ,2875.79 ,"3,000.94","2,828.86",5.72B,-6.34%
2007年5月29日,3050.44 ,3009.44 ,"3,051.07","3,002.91",4.41B,1.72%
2007年5月28日,2998.86 ,2976.76 ,"3,012.60","2,968.91",4.50B,1.92%
2007年5月25日,2942.51 ,2894.70 ,"2,958.74","2,881.49",3.42B,1.23%
2007年5月24日,2906.82 ,2927.49 ,"2,949.88","2,866.94",4.22B,-0.45%
2007年5月23日,2919.94 ,2887.64 ,"2,920.76","2,862.49",3.52B,1.29%
2007年5月22日,2882.66 ,2873.31 ,"2,903.85","2,869.01",3.85B,0.63%
2007年5月21日,2864.70 ,2763.77 ,"2,875.02","2,757.57",3.92B,0.36%
2007年5月18日,2854.32 ,2862.94 ,"2,875.62","2,835.98",2.84B,-0.64%
2007年5月17日,2872.79 ,2837.72 ,"2,888.45","2,825.21",3.18B,1.56%
2007年5月16日,2828.53 ,2764.26 ,"2,829.53","2,731.82",3.11B,2.09%
2007年5月15日,2770.66 ,2888.91 ,"2,895.32","2,768.93",3.89B,-3.98%
